Direct damage spells. See Persistent AoE spells also. Disclaimer: Values are compiled for general comparison and are not equivalent due to the many hundreds of variables that cannot be qualified on a simple table. For example, don't attempt to compare Hemomancer's or Elementalist's spells with other spells because the Invoker's spells are assumed to be at maximum stacks.

Table key:
i: Innate Level
R: Range in meters to the target
St: Saves: (f)ortitude, (r)eflex, (w)ill or a (T)ouch attack
Eff: Additional effects from failing or passing saves: (df) deafened, (½) save for half damage, (s)tunned, (d)azed, (R)ooted
SR: Does not have a spell resistance check: $
Dmg: Base damage plus additional damage per caster level
Typ: Type of damage
Max: Maximum damage at max level
MAv: Average damage at max level
AoE: If spell has an area of effect (e)nemies only or (a)ll damaged
Hover bold items in the table for additional information
Spell	i	R	St	Ef	SR	Dmg	Typ	Max	MAv	AoE
Massacre	7	8	f, w	lots, ½		5x CL	bleed, neg	240	240	a
Power Word, Bleed	7	8	f	dot		1/2 hit points	?	60 (60)	60	
Prismatic Spray	7	8	s			80 x 2	electric	160 (80x2)	160	e
Sunbeam	7	20	r	negates		3d6	divine	18 (3d6)	10.5	a
Abi-Dalzim's Horrid Wilting	8	20	f	½		1d8 per 1	entropy	200 (25d8)	112.5	a
Avascular Mass	8	8	f	50%, ½		10 per 1	negative	300 (300)	300	
Bombardment	8	40	r	d, ½		1d8 per 1	bludgeoning	80 (10d8)	45	e
Cursed Lightning	8	40	r	dot, ½		1d6 per 3		10d6	35	e
Earthquake	8	0	r	prone		1d6 per 1	physical	180 (30d6)	105	a
Nybor's Wrathful Castigation	8	8	f, w	death, d&dmg		1d4 per 1	psychic	80 (20d4)	50	
Sunburst	8	20	r	blind		6d6	magic	36 (6d6)	21	a
Burst of Glacial Wrath	9	20	r	½		1d6 per 1	cold	150 (25d6)	87.5	a
Elemental Annihilation	9	40	w	½		1d6 per 1 + 1 per 1		210 (30d6+30)	135	a
Iceberg	9	40	r	immobile, ½		1d6 per 2	cold	90 (15d6)	52.5	a
Meteor Swarm	9	0	r	½		30d8	fire	240 (30d8)	135	e
Soul Shriek	9	0	f, w	lots, ½		5x CL	entropy	225 (225)	225	e
Wail of the Banshee	9	8	f	death		10d6	sonic	60 (10d6)	35	e
Weird	9	8	f, w	death, fear		3d6	psychic	18 (3d6)	21	
Hellball	10	20		prone 3s	$	40d6	div ent neg pos	240 (40d6)	140	e
Greater Ruin	10	20			$	45d6 + 10	entropy	270 (45d6+10)	157.5	
Eldritch Blast (EEM)	30*	?				3d6 + 1d6 per 2	selectable	162 (15d6 + 12d6 EEM)	94.5	
Elemental Meteor (Air)	10	20	r*	½	$	20d6	elec sonic	120 (20d6)	70	e
Elemental Meteor (Fire)	10	20	r*	½	$	20d6	fire	120 (20d6)	70	e
Elemental Meteor (Water)	10	20	r*	½	$	20d6	cold blunt	120 (20d6)	70	e
Elemental Meteor (Earth)	10	20	r*	½	$	20d6	blunt force	120 (20d6)	70	e
Elemental Meteor (Ooze)	10	20	r*	½	$	20d6	acid	120 (20d6)	70	e
Vampiric Feast	10	0		dot	$	3d6	bleed or ent	216 (36d6)	126	a
